滿	扑满 	[pu1 man3]	/Spardose, Sparschwein (S)/
書本知識	书本知识 	[shu1 ben3 zhi1 shi4]	/Schulgelehrsamkeit (S)/
書架	书架 	[shu1 jia4]	/Bücherregal (S)/
書桌	书桌 	[shu1 zhuo1]	/Pult (S)/Schreibtisch (S)/Schulbank (S)/Tischtennis (S)/
書槽	书槽 	[shu1 cao2]	/Hohlkehle (S, Tech)/
書櫃	书柜 	[shu1 gui4]	/Bücherbrett, Bücherregal (S)/Bücherschrank (S)/
書殼	书壳 	[shu1 ke2]	/Buchdecke (S)/
書殼加工	书壳加工 	[shu1 ke2 jia1 gong1]	/Buchdeckenfertigung (S, Druckw)/
書殼用布	书壳用布 	[shu1 ke2 yong4 bu4]	/Bezugsleinen (S)/
書殼織物	书壳织物 	[shu1 ke2 zhi1 wu4]	/Bezugsstoff (S)/
書法	书法 	[shu1 fa3]	/Kalligrafie (S, Kunst)/
書法家	书法家 	[shu1 fa3 jia1]	/Kalligraph (S, Kunst)/
書法的	书法的 	[shu1 fa3 de5]	/kalligrafisch (Adj, Kunst)/
書獃子	书呆子 	[shu1 dai1 zi3]	/Buchnarr, Büchernarr, Leseratte, Bücherwurm (S)/Nerd (S)/
書生	书生 	[shu1 sheng1]	/Intellektueller, Gelehrter (S)/
書生氣	书生气 	[shu1 sheng1 qi4]	/Pedanterie (S)/
書畫	书画 	[shu1 hua4]	/Kalligraphie und Malerei (S, Kunst)/
書皮	书皮 	[shu1 pi2]	/Buchumschlag, Cover, Deckel (S)/Deckblatt (S)/Schutzumschlag (S)/
書皮紙	书皮纸 	[shu1 pi2 zhi3]	/Schutzumschlag (S)/
書目	书目 	[shu1 mu4]	/Bibliografie (S)/Buchkatalog (S)/ZEW:本[ben3] (X)/bibliografisch (Adj)/bibliographisch (Adj)/
書眉	书眉 	[shu1 mei2]	/Kopfsteg, Kopfzeile (S, Druckw)/
書眉線	书眉线 	[shu1 mei2 xian4]	/Kopflinie (eines Buches) (S, Druckw)/
書社	书社 	[shu1 she4]	/Lesegruppe (S)/Presse (S)/
書稿	书稿 	[shu1 gao3]	/Manuskript (S)/
書童	书童 	[shu1 tong2]	/Bücherjunge (S)/
書簽	书签 	[shu1 qian1]	/Lesezeichen (S), ZEW:張|张[zhang1] (X)/
書簽絲帶	书签丝带 	[shu1 qian1 si1 dai4]	/Lesezeichenband (S)/
書籍	书籍 	[shu1 ji2]	/Bücher, Literatur (S)/
書籍出版商	书籍出版商 	[shu1 ji2 chu1 ban3 shang1]	/Buchverleger (S)/
書籍切口	书籍切口 	[shu1 ji2 qie1 kou3]	/Buchschnitt (S)/
書籍制作	书籍制作 	[shu1 ji2 zhi4 zuo4]	/Buchherstellung (S)/
書籍加工	书籍加工 	[shu1 ji2 jia1 gong1]	/Buchfertigung (S)/
書籍加工流水線	书籍加工流水线 	[shu1 ji2 jia1 gong1 liu2 shui3 xian4]	/Buchfertigungsstraße (S, Tech)/
書籍包封	书籍包封 	[shu1 ji2 bao1 feng1]	/Buchumschlag (S)/
書籍包封耳頁廣告	书籍包封耳页广告 	[shu1 ji2 bao1 feng1 er3 ye4 guang3 gao4]	/Klappentext (S, Wirtsch)/
書籍包裹	书籍包裹 	[shu1 ji2 bao1 guo3]	/Büchersendung (S)/
書籍印刷	书籍印刷 	[shu1 ji2 yin4 shua4]	/Bücherdruck (S)/
書籍厚度	书籍厚度 	[shu1 ji2 hou4 du4]	/Buchumfang (S)/
書籍壓槽成形機	书籍压槽成形机 	[shu1 ji2 ya1 cao2 cheng2 xing2 ji1]	/Buchformpresse (S, Druckw)/
書籍字體	书籍字体 	[shu1 ji2 zi4 ti3]	/Buchschrift (S, EDV)/
書籍封面	书籍封面 	[shu1 ji2 feng1 mian4]	/Buchumschlag, Schutzumschlag, Bucheinband (S, Druckw)/
書籍封面紙	书籍封面纸 	[shu1 ji2 feng1 mian4 zhi3]	/Bucheinbandpapier (S)/
書籍封面設計	书籍封面设计 	[shu1 ji2 feng1 mian4 she4 ji4]	/Bucheinbandentwurf (S, Druckw)/
書籍展覽	书籍展览 	[shu1 ji2 zhan3 lan3]	/Buchausstellung, Buchmesse (S, Wirtsch)/
書籍成形	书籍成形 	[shu1 ji2 cheng2 xing2]	/Buchformen (S)/
書籍扒圓	书籍扒圆 	[shu1 ji2 ba1 yuan2]	/Buchrunden (V)/
書籍扒圓和起脊機	书籍扒圆和起脊机 	[shu1 ji2 ba1 yuan2 he2 qi3 ji3 ji1]	/Buchrunde- und Abpressmaschine (S, Druckw)/
書籍扒圓機	书籍扒圆机 	[shu1 ji2 ba1 yuan2 ji1]	/Buchrundemaschine (S)/
書籍插圖	书籍插图 	[shu1 ji2 cha1 tu2]	/Buchillustration (S)/
書籍插圖畫家	书籍插图画家 	[shu1 ji2 cha1 tu2 hua4 jia1]	/Buchillustrator (S)/
書籍摘錄	书籍摘录 	[shu1 ji2 zhai1 lu4]	/Buchauszug (S)/
書籍生產	书籍生产 	[shu1 ji2 sheng1 chan3]	/Buchproduktion (S)/
書籍研究班	书籍研究班 	[shu1 ji2 yan2 jiu1 ban1]	/Buchstudium (S)/
書籍篇幅	书籍篇幅 	[shu1 ji2 pian1 fu2]	/Buchumfang (S)/
書籍紙張	书籍纸张 	[shu1 ji2 zhi3 zhang1]	/Bücherpapier (S)/
書籍絲帶	书籍丝带 	[shu1 ji2 si1 dai4]	/Buchschleife (S)/
書籍裝幀	书籍装帧 	[shu1 ji2 zhuang1 zheng4]	/Buchausstattung, Buchdekoration (S)/
書籍裝幀藝術	书籍装帧艺术 	[shu1 ji2 zhuang1 zheng4 yi4 shu4]	/Buchkunst (S, Kunst)/
書籍裝璜	书籍装璜 	[shu1 ji2 zhuang1 huang2]	/Buchschmuck (S)/
書籍裝訂	书籍装订 	[shu1 ji2 zhuang1 ding4]	/Buchbinden, Bucheinband (S, Druckw)/
書籍裝訂加工	书籍装订加工 	[shu1 ji2 zhuang1 ding4 jia1 gong1]	/buchbinderische Verarbeitung (S, Druckw)/
書籍裝訂工	书籍装订工 	[shu1 ji2 zhuang1 ding4 gong1]	/Buchbinder (S)/
書籍裝訂技術	书籍装订技术 	[shu1 ji2 zhuang1 ding4 ji4 shu4]	/Buchbindetechnik (S)/
書籍裝訂用的油墨	书籍装订用的油墨 	[shu1 ji2 zhuang1 ding4 yong4 de5 you2 mo4]	/Buchbinderfarbe (S)/
書籍裝訂用的紗布	书籍装订用的纱布 	[shu1 ji2 zhuang1 ding4 yong4 de5 sha1 bu4]	/Buchbindergaze (S)/
書籍設計	书籍设计 	[shu1 ji2 she4 ji4]	/Buchgestaltung (S)/
書籍設計人員	书籍设计人员 	[shu1 ji2 she4 ji4 ren2 yuan2]	/Buchgestalter (S)/
書籍護封	书籍护封 	[shu1 ji2 hu4 feng1]	/Schutzumschlag (S)/
書籍販賣	书籍贩卖 	[shu1 ji2 fan4 mai4]	/Buchhandel (S)/
書籍起脊	书籍起脊 	[shu1 ji2 qi3 ji3]	/Buch abpressen (V)/
書籍開本尺寸	书籍开本尺寸 	[shu1 ji2 kai1 ben3 chi3 cun4]	/Buchformat (S)/
書籍頂帶	书籍顶带 	[shu1 ji2 ding3 dai4]	/Kapitalband (S, Druckw)/
書經	书经 	[shu1 jing1]	/Buch der Urkunden (S)/das Schuking (S)/
書聖	书圣 	[shu1 sheng4]	/Koryphäe der Kalligrafie (S)/Koryphäe (S)/
書脊	书脊 	[shu1 ji3]	/Buchrücken (S)/
書脊凸棱	书脊凸棱 	[shu1 ji3 tu1 leng2]	/Binde, Buchbinde, Buchschleife (S)/
書脊凹槽	书脊凹槽 	[shu1 ji3 ao1 cao2]	/Hohlkehle (S, Druckw)/
書脊加襯紙	书脊加衬纸 	[shu1 ji3 jia1 chen4 zhi3]	/gefälzelt (Adj)/
書脊槽	书脊槽 	[shu1 ji3 cao2]	/Abpressfalz (S)/
書脊背後	书脊背后 	[shu1 ji3 bei4 hou4]	/mit dem Rücken hinten (Buchrücken) (Adj)/
書脊貼帶	书脊贴带 	[shu1 ji3 tie1 dai4]	/Buchbinde (S)/
書脊貼紗布和背脊紙工作站	书脊贴纱布和背脊纸工作站 	[shu1 ji3 tie1 sha1 bu4 he2 bei4 ji3 zhi3 gong1 zuo4 zhan4]	/Gaze- und Fälzelstation (S, Druckw)/
書芯上膠	书芯上胶 	[shu1 xin4 shang4 jiao1]	/Blockleimung, Blockleimen (S)/
書芯上膠機	书芯上胶机 	[shu1 xin4 shang4 jiao1 ji1]	/Blockleimgerät (S)/
書芯	书芯 	[shu1 xin4]	/Block, Buchblock (S)/
書芯制作	书芯制作 	[shu1 xin4 zhi4 zuo4]	/Blockfertigung (S)/
書芯厚度	书芯厚度 	[shu1 xin4 hou4 du4]	/Blockstärke (S)/
書芯壓緊機	书芯压紧机 	[shu1 xin4 ya1 jin3 ji1]	/Buchblockpresse (S)/
書芯擠壓	书芯挤压 	[shu1 xin4 ji3 ya1]	/Blockpressung (S)/
書芯生產線	书芯生产线 	[shu1 xin4 sheng1 chan3 xian4]	/Blockfertigungsstraße (S, Tech)/
書芯鎖線機	书芯锁线机 	[shu1 xin4 suo3 xian4 ji1]	/Blockheftmaschine (S)/
書蟲	书虫 	[shu1 chong2]	/Bücherwurm, Leseratte (S)/
書角	书角 	[shu1 jiao3]	/Bücherecke (S)/
書角花飾	书角花饰 	[shu1 jiao3 hua1 shi4]	/Eckenverzierung (S)/
書角衝切機	书角冲切机 	[shu1 jiao3 chong1 qie1 ji1]	/Eckenausstanzmaschine, Eckenstanzmaschine (S)/
書記	书记 	[shu1 ji4]	/Schreiber (S)/Sekretär (S)/Sekretärin (S)/
書記員	书记员 	[shu1 ji4 yuan2]	/Gerichtsschreiber, Protokollant (S)/
書記官	书记官 	[shu1 ji4 guan1]	/Sekretär (S)/Sekretärin (S)/
書記處書記	书记处书记 	[shu1 ji4 chu4 shu1 ji4]	/Sekretär des Sekretariats der KPCh (S, Pol)/
書評	书评 	[shu1 ping2]	/Buchbesprechung, Buchkritik, Rezension (S)/
書邊挖月索引	书边挖月索引 	[shu1 bian1 wa1 yue4 suo3 yin3]	/Daumenregister/
書院	书院 	[shu1 yuan4]	/höhere Lehranstalt, Akademie (S, Edu)/
書面	书面 	[shu1 mian4]	/geschrieben (Adj)/Schriftform (S)/schreiben (V)/brieflich (Adj)/schriftlich (Adj)/
書面合同	书面合同 	[shu1 mian4 he2 tong5]	/schriftlicher Vertrag (S)/
書面材料	书面材料 	[shu1 mian4 cai2 liao4]	/Unterlagen (S)/
書面申請	书面申请 	[shu1 mian4 shen1 qing3]	/Gesuch (S)/
書面確認	书面确认 	[shu1 mian4 que4 ren4]	/verbriefen (V)/
書面解決	书面解决 	[shu1 mian4 jie3 jue2]	/festschreiben (V)/
書面語	书面语 	[shu1 mian4 yu3]	/Schriftsprache (S, Sprachw)/
書面語言	书面语言 	[shu1 mian4 yu3 yan2]	/Schriftsprache (S, Sprachw)/
書面證明	书面证明 	[shu1 mian4 zheng4 ming2]	/schriftlicher Nachweis (S)/
書面證詞	书面证词 	[shu1 mian4 zheng4 ci2]	/schriftliche Erklärung (S)/
書面通知	书面通知 	[shu1 mian4 tong1 zhi1]	/schriftliche Mitteilung (S, Wirtsch)/
書面陳述	书面陈述 	[shu1 mian4 chen2 shu4]	/eidesstattliche Erklärung (S, Rechtsw)/
書頁	书页 	[shu1 ye4]	/Seite (S)/
書頁捲角	书页卷角 	[shu1 ye4 juan3 jiao3]	/Eselsohr (S)/
書香門第	书香门第 	[shu1 xiang1 men2 di4]	/eine (alte) Gelehrtenfamilie (S)/
書齋	书斋 	[shu1 zhai1]	/Studierzimmer, Studierbude (S, Arch)/
曹丕	曹丕 	[cao2 pi1]	/Cao Pi (Eig, Pers, 187 - 226)/
曹仁	曹仁 	[cao2 ren2]	/Cao Ren (Eig, Pers, 168 - 223)/
曹休	曹休 	[cao2 xiu1]	/Cao Xiu (Eig, Pers, - 228)/
曹剛川	曹刚川 	[cao2 gang1 chuan1]	/Cao Gangchuan (Eig, Pers, 1935 -)/
曹卬	曹昂 	[cao2 ang2]	/Cao Ang (Eig, Pers, 175 - 197)/
曹參	曹参 	[cao2 can1]	/Cao Can (chin. Politiker der Han-Dynastie) (Eig, Pers, - 190 v.Chr.)/
曹叡	曹叡 	[cao2 rui4]	/Cao Rui (Eig, Pers, 205 - 239)/
曹奐	曹奂 	[cao2 huan4]	/Cao Huang (Eig, Pers, 246 - 303)/
曹妃甸工業區	曹妃甸工业区 	[cao2 fei1 dian4 gong1 ye4 qu1]	/Industriegebiet Caofeidian (Eig)/
曹恩道夫戰役	曹恩道夫战役 	[cao2 en1 dao4 fu1 zhan4 yi4]	/Schlacht von Zorndorf (Gesch, Mil)/
曹操	曹操 	[cao2 cao1]	/Cao Cao (Eig, Pers, 155 - 220)/
曹	曹 	[cao2]	/Güteklasse oder Qualität (S)/Generation (S)/Kläger und Verteidiger (alt) (S, Rechtsw)/Regierungsabteilung, Regierungsebene, Ministerium (alt) (S, Pol)/Cao (Eig, Fam)/Zhou Dynastie, ein Vassallenstaat (Gesch)/
曹植	曹植 	[cao2 zhi2]	/Cao Zhi (Eig, Pers, 192 - 232)/
曹汝霖	曹汝霖 	[cao2 ru3 lin2]	/Cao Rulin (chin. Politiker) (Eig, Pers, 1877 - 1966)/
曹洪	曹洪 	[cao2 hong2]	/Cao Hong (Eig, Pers, 169 - 233)/
曹爽	曹爽 	[cao2 shuang3]	/Cao Shuang (Eig, Pers, - 249)/
曹玉書	曹玉书 	[cao2 yu4 shu1]	/Cao Yushu (Eig, Pers)/
曹真	曹真 	[cao2 zhen1]	/Cao Zhen (Eig, Pers, 185 - 231)/
曹禺	曹禺 	[cao2 yu2]	/Cao Yu (Eig, Pers, 1910 - 1996)/
曹純	曹纯 	[cao2 chun2]	/Cao Chun (Eig, Pers, 170 - 210)/
曹縣	曹县 	[cao2 xian4]	/Kreis Cao (Provinz Shandong, China) (Eig, Geo)/
曹芳	曹芳 	[cao2 fang1]	/Cao Fang (Eig, Pers, 231 - 274)/
曹衝	曹冲 	[cao2 chong1]	/Cao Chong (Eig, Pers, 196 - 208)/
曹邱	曹邱 	[cao2 qiu1]	/Caoqiu (Eig, Fam)/
曹錦輝	曹锦辉 	[cao2 jin3 hui1]	/Chin-hui Tsao (Eig, Pers, 1981 -)/
曹雪芹	曹雪芹 	[cao2 xue3 qin2]	/Cao Xueqin (chin. Schriftsteller) (Eig, Pers, 1719-1763)/
曹髦	曹髦 	[cao2 mao2]	/Cao Mao (Eig, Pers, 241 - 260)/
曹魏	曹魏 	[cao2 wei4]	/Wei-Dynastie (S, Gesch)/
曻	曻 	[sheng1]	/Variante von 昇|升[sheng1] (X)/
曼努考	曼努考 	[man4 nu3 kao3]	/Manukau (Stadt in Neuseeland) (Geo)/
曼哈頓壽險大樓	曼哈顿寿险大楼 	[man4 ha1 dun4 shou4 xian3 da4 lou2]	/Manhattan Life Insurance Building (Gebäude in New York) (S, Arch)/
曼哈頓島	曼哈顿岛 	[man4 ha1 dun4 dao3]	/Manhattan Island (Insel in New York City, USA) (Geo)/
曼哈頓	曼哈顿 	[man4 ha1 dun4]	/Manhattan (Stadtbezirk von New York City, USA) (Geo)/
曼哈頓計劃	曼哈顿计划 	[man4 ha1 dun4 ji4 hua4]	/Manhattan-Projekt (S, Phys)/
曼哈頓距離	曼哈顿距离 	[man4 ha1 dun4 ju4 li2]	/Manhattan-Metrik, Manhattan- Distanz, Taxi-Metrik (S, Math)/Cityblock-Metrik, Mannheimer Metrik (S, Math)/
曼圖霍特普一世	曼图霍特普一世 	[man4 tu2 huo4 te4 pu3 yi1 shi4]	/Mentuhotepaa, Montuhotep der Ältere, Mentuhotep I. (altägyptischer Pharao) (Eig, Pers)/
曼城足球俱樂部	曼城足球俱乐部 	[man4 cheng2 zu2 qiu2 ju4 le4 bu4]	/Manchester City F.C. (Sport, Org)/
曼塔羅河	曼塔罗河 	[man4 ta3 luo1 he2]	/Rio Mantaro (Fluss in Peru) (Geo)/
曼奇尼	曼奇尼 	[man4 qi2 ni2]	/Mancini (Eig, Fam)/
曼妞拉	曼妞拉 	[man4 niu1 la1]	/Manuela (Eig, Vorn)/
曼寧	曼宁 	[man4 ning2]	/Manning (Eig, Fam)/
曼尼斯曼	曼尼斯曼 	[man4 ni2 si1 man4]	/Mannesman (Eig, Fam)/
曼尼普爾語	曼尼普尔语 	[man4 ni2 pu3 er3 yu3]	/Manipuri (Sprachw)/
曼尼普爾邦	曼尼普尔邦 	[man4 ni2 pu3 er3 bang1]	/Manipur (Bundesstaat in Indien) (Geo)/
曼島	曼岛 	[man4 dao3]	/Isle of Man (Insel in der irischen See) (Geo)/
曼巴蛇	曼巴蛇 	[man4 ba1 she2]	/Schwarze Mamba (S, Zool)/
曼弗雷德	曼弗雷德 	[man4 fu2 lei2 de2]	/Manfred (Eig, Vorn)/
曼德勃羅	曼德勃罗 	[man4 de2 bo2 luo2]	/Benoît Mandelbrot (Eig, Pers, 1924 -)/
曼德勒	曼德勒 	[man4 de2 lei1]	/Mandalay (Stadt in Myanmar) (Geo)/
曼德勒海灣酒店	曼德勒海湾酒店 	[man4 de2 lei1 hai3 wan1 jiu3 dian4]	/Hotel Mandalay Bay Resort (Eig, Wirtsch)/
曼德語族	曼德语族 	[man4 de2 yu3 zu2]	/Mande-Sprachen (Sprachw)/
曼徹斯特國際機場	曼彻斯特国际机场 	[man4 che4 si1 te2 guo2 ji4 ji1 chang3]	/Flughafen Manchester (Infra)/
曼徹斯特大學	曼彻斯特大学 	[man4 che4 si1 te2 da4 xue2]	/University of Manchester (Edu)/
曼徹斯特	曼彻斯特 	[man4 che4 si1 te2]	/Manchester (Stadt in UK) (Geo)/
曼徹斯特	曼彻斯特 	[man4 che4 si1 te4]	/Manchester (Stadt in UK) (Geo)/
曼徹斯特聯隊	曼彻斯特联队 	[man4 che4 si1 te2 lian2 dui4]	/Manchester United F.C. (Sport, Org)/
曼恩盧瓦爾省	曼恩卢瓦尔省 	[man4 en1 lu2 wa3 er3 sheng3]	/Maine-et-Loire (Departement in Frankreich) (Eig, Geo)/
曼斯菲爾德莊園	曼斯菲尔德庄园 	[man4 si1 fei1 er3 de2 zhuang1 yuan2]	/Mansfield Park (Lit)/
曼斯費爾德	曼斯费尔德 	[man4 si1 fei4 er3 de2]	/Mansfeld (Stadt in Deutschland) (Geo)/
曼	曼 	[man4]	/anmutig, entzückend, mild (Adj)/lang (Adj)/weit, gross (Adj)/Mann (Eig, Fam)/
曼海姆大學	曼海姆大学 	[man4 hai3 mu3 da4 xue2]	/Universität Mannheim (Edu)/
曼海姆	曼海姆 	[man4 hai3 mu3]	/Mannheim (Stadt in Deutschland) (Eig, Geo)/
曼海姆樂派	曼海姆乐派 	[man4 hai3 mu3 le4 pai4]	/Mannheimer Schule (S, Mus)/
曼涅託	曼涅托 	[man4 nie4 tuo1]	/Manetho (ägypt. Priester) (Eig, Pers)/
曼聯	曼联 	[man4 lian2]	/Man U (Sport, Org)/
曼聯足球俱樂部	曼联足球俱乐部 	[man4 lian2 zu2 qiu2 ju4 le4 bu4]	/Manchester United (Sport, Org)/
曼興	曼兴 	[man4 xing4]	/Manching (Stadt in Deutschland) (Geo)/
曼荼羅	曼荼罗 	[man4 tu2 luo2]	/Mandala (S, Rel)/
曼莫漢	曼莫汉 	[man4 mo4 han4]	/Manmohan Singh (Indischer Ministerpräsident, Februar 2007) (Eig, Pol)/
曼莫漢辛格	曼莫汉辛格 	[man4 mo4 han4 xin1 ge2]	/Manmohan Singh (Eig, Pers, 1932 -)/
曼谷國際機場	曼谷国际机场 	[man4 gu3 guo2 ji4 ji1 chang3]	/Flughafen Bangkok-Don Muang (Infra)/
曼谷地下鐵路	曼谷地下铁路 	[man4 gu3 di4 xia4 tie3 lu4]	/Bangkok Metro (S, Infra)/
曼谷	曼谷 	[man4 gu3]	/Bangkok (Hauptstadt von Thailand) (Geo)/
曼谷玉彿寺	曼谷玉佛寺 	[man4 gu3 yu4 fu2 si4]	/Wat Phra Kaeo (Sprachw)/
曼谷航空	曼谷航空 	[man4 gu3 hang2 kong1]	/Bangkok Airways (Wirtsch)/
曼谷郵報	曼谷邮报 	[man4 gu3 you2 bao4]	/Bangkok Post (S, Publ)/
曼谷集體運輸系統	曼谷集体运输系统 	[man4 gu3 ji2 ti3 yun4 shu1 xi4 tong3]	/Bangkok Skytrain (Infra)/
曼越橘	曼越橘 	[man4 yue4 ju2]	/Preiselbeere (S, Bot)/
曼達拉航空公司	曼达拉航空公司 	[man4 da2 la1 hang2 kong1 gong1 si1]	/Mandala Airlines (Eig, Wirtsch)/
曼陀林	曼陀林 	[man4 tuo2 lin2]	/Mandoline (S)/
曼陀琳	曼陀琳 	[man4 tuo2 lin2]	/Mandoline (S)/
曼陀羅花	曼陀罗花 	[man4 tuo2 luo2 hua1]	/Gemeiner Stechapfel (S, Bot)/
曼陀鈴	曼陀铃 	[man4 tuo2 ling2]	/Mandoline (S)/
曼齊尼	曼齐尼 	[man4 qi2 ni2]	/Manzini (Stadt in Swasiland) (Eig, Geo)/
曽	曽 	[ceng2]	/japanische Variante von 曾[ceng2] (X)/
曾侯乙墓	曾侯乙墓 	[ceng2 hou2 yi3 mu4]	/Grab des Markgrafen Yi von Zeng (Geo, Gesch)/
曾侯乙編鐘	曾侯乙编钟 	[ceng2 hou2 yi3 bian1 zhong1]	/Chinesisches Glockenspiel (S, Mus)/
曾國藩	曾国藩 	[ceng2 guo2 fan2]	/Zeng Guofan (Eig, Pers, 1811 - 1872)/
曾培炎	曾培炎 	[ceng2 pei2 yan2]	/Zeng Peiyan (Pers)/
曾孫女	曾孙女 	[zeng1 sun1 nü3]	/Großenkel (S)/
曾孫	曾孙 	[zeng1 sun1]	/Großenkel (S)/
曾志偉	曾志伟 	[ceng2 zhi4 wei3]	/Eric Tsang (Eig, Pers, 1953 -)/
曾慶紅	曾庆红 	[zeng1 qing4 hong2]	/Zeng Qinghong (Eig, Pers, 1939 -)/
曾	曾 	[ceng2]	/früher einmal (Adv)/schon einmal (Adv)/jemals (Adv)/
曾用名	曾用名 	[ceng2 yong4 ming2]	/Aliasname (S)/
曾經去過	曾经去过 	[ceng2 jing1 qu4 guo4]	/war früher schon einmal (Redew)/
曾經	曾经 	[ceng2 jing1]	/früher; vorher; jemals; schon einmal (Adv)/
曾聯松	曾联松 	[ceng2 lian2 song1]	/Zeng Liansong (Eig, Pers, 1917 - 1999)/
曾蔭權	曾荫权 	[zeng1 yin4 quan2]	/Donald Tsang (Eig, Pers, 1944 -)/
曾被判過刑的	曾被判过刑的 	[ceng2 bei4 pan4 guo4 xing2 de5]	/vorbestraft (Adj)/
曾鈺成	曾钰成 	[zeng1 yu4 cheng2]	/Tsang Yok-sing (Eig, Pers, 1947 -)/
曾鞏	曾巩 	[zeng1 gong3]	/Zeng Gong (Eig, Pers, 1019 - 1083)/
替代品	替代品 	[ti4 dai4 pin3]	/Ersatz (S)/Ersatzbeschaffung (S)/
替代役	替代役 	[ti4 dai4 yi4]	/Alternativer Militärdienst in Taiwan ("Zivildienst") (S)/
替代	替代 	[ti4 dai4]	/Ersatz, Austausch, Alternative (S)/an die Stelle treten (V)/ersetzen, austauschen (V)/ersetzbar, austauschbar, alternativ (Adj)/
替代物	替代物 	[ti4 dai4 wu4]	/Ersatz (S)/
替代醫學	替代医学 	[ti4 dai4 yi1 xue2]	/Alternativmedizin (S, Med)/
替換性	替换性 	[ti4 huan5 xing4]	/Austauschbarkeit (S)/
替換	替换 	[ti4 huan5]	/ersetzen, austauschen, ablösen (V)/Austausch, Ersatz, Substitution (S)/
替換零部件	替换零部件 	[ti4 huan4 ling2 bu4 jian4]	/Ersatzteil (S)/
替	替 	[ti4]	/Verfall, Niedergang (S)/ersetzen, an jmds. Stelle treten, jmdn. vertreten (V)/anstatt, statt, für (P)/für jmdn. (Pron), in jmds. Namen (S)/
替爾泊肽	替尔泊肽 	[ti4 er3 bo2 tai4]	/Tirzepatid (S, Pharm)/
替罪羊	替罪羊 	[ti4 zui4 yang2]	/Sündenbock (S)/
替罪羊羔	替罪羊羔 	[ti4 zui4 yang2 gao1]	/Bauernopfer (S)/
替罪羔羊	替罪羔羊 	[ti4 zui4 gao1 yang2]	/Sündenbock (S)/
替補	替补 	[ti4 bu3]	/Ersetzung (S)/Reservist (S)/
替身	替身 	[ti4 shen1]	/ersetzen, substituieren (V)/Buhmann, Prügelknabe (S)/
最上層	最上层 	[zui4 shang4 ceng2]	/Stratosphäre (S)/
最上義光	最上义光 	[zui4 shang4 yi4 guang1]	/Mogami Yoshiaki (Eig, Pers, 1546 - 1614)/
最不	最不 	[zui4 bu4]	/am allerwenigsten (Adv)/
最主要的	最主要的 	[zui4 zhu3 yao4 di2]	/das wichtigste (Adj)/
最低位	最低位 	[zui4 di1 wei4]	/niedrigstwertiges Bit (S, Math)/
最低供養	最低供养 	[zui4 di1 gong1 yang3]	/Mindestversorgung (S)/
最低價	最低价 	[zui4 di1 jia4]	/Preis (S)/niedrig (Adj)/
最低儲備金政策	最低储备金政策 	[zui4 di1 chu3 bei4 jin1 zheng4 ce4]	/Mindestreservepolitik (S, Pol)/
最低儲備金	最低储备金 	[zui4 di1 chu3 bei4 jin1]	/Mindestreserve (S, Wirtsch)/
最低含量	最低含量 	[zui4 di1 han2 liang4]	/Mindestgehalt (S)/
最低工資	最低工资 	[zui4 di1 gong1 zi1]	/Mindestlohn (S, Wirtsch)/
最低工資水平	最低工资水平 	[zui4 di1 gong1 zi1 shui3 ping2]	/Einkommensgrenze (S)/
最低廢紙量	最低废纸量 	[zui4 di1 fei4 zhi3 liang4]	/geringste Makulatur (S, Druckw)/
最低	最低 	[zui4 di1]	/unterst, tiefst, minimal (Adj)/Mindest- (Vorsilbe)/
最低氣溫	最低气温 	[zui4 di1 qi4 wen1]	/Tiefsttemperatur (S, Met)/
最低潮	最低潮 	[zui4 di1 chao2]	/Tiefpunkt (S)/
最低生活保障制度	最低生活保障制度 	[zui4 di1 sheng1 huo2 bao3 zhang4 zhi4 du4]	/Absicherungssystem des Existenzminimums (S, Wirtsch)/
最低生活保障	最低生活保障 	[zui4 di1 sheng1 huo2 bao3 zhang4]	/Unterhaltsbeihilfe (S)/Unterhaltszahlung (S)/Unterhaltszuschuss (S)/
最低票價的艙位	最低票价的舱位 	[zui4 di1 piao4 jia4 de5 cang1 wei4]	/Zwischendeck (S)/
最低粘接速度	最低粘接速度 	[zui4 di1 zhan1 jie1 su4 du4]	/minimale Klebegeschwindigkeit (S)/
最低薪金	最低薪金 	[zui4 di1 xin1 jin1]	/Mindestgehalt, Mindestlohn (S, Pol, Wirtsch)/
最低要求	最低要求 	[zui4 di1 yao1 qiu2]	/Mindestanforderung, Mindesterfordernis (S)/
最低限度地	最低限度地 	[zui4 di1 xian4 du4 de5]	/gering (Adj)/geringer (Adj)/
最低限度	最低限度 	[zui4 di1 xian4 du4]	/mindestens (Adv), Mindestmaß (S)/
最低限度的目標	最低限度的目标 	[zui4 di1 xian4 du4 de5 mu4 biao1]	/Minimalziel (S, Wirtsch)/
最低點	最低点 	[zui4 di1 dian3]	/Mindest- (Vorsilbe), Mindestbetrag (S)/
最佳化問題	最佳化问题 	[zui4 jia1 hua4 wen4 ti2]	/Optimierungsproblem (S, Math)/
最佳化	最佳化 	[zui4 jia1 hua4]	/Optimierung (S)/
最佳協調的試印	最佳协调的试印 	[zui4 jia1 xie2 diao4 de5 shi4 yin4]	/optimal abgestimmter Andruck (S, Druckw)/
最佳實踐	最佳实践 	[zui4 jia1 shi2 jian4]	/empfohlene Vorgehensweise, bestes Verfahren (S)/
最佳性能	最佳性能 	[zui4 jia1 xing4 neng2]	/Hochleistung (S)/
